Shelter Name,Shelter Id,FEMA Declaration #,ARC DRO #,Incident #,Shelter Status,Shelter Agency Type,Shelter Address,City,County/Parish,State,Zip,Open Date,Close Date,Shelter Evacuation Capacity,Shelter Post Impact Capacity,Population Period,9/7/17,9/8/17,9/9/17
OAK GROVE MIDDLE SCHOOL,15709,,41418,,Open,Independent,1370 S BELCHER RD,CLEARWATER,PINELLAS,FL,33764,9/8/17 17:00,,1584,0,,,,
Ross Norton Rec Center,68735,,41418,,Stand-by/Alert,ARC Managed,1426 S. MLK  Jr. Ave,CLEARWATER,PINELLAS,FL,33756,,,500,250,,,,
Oak Grove Middle School Special Needs,70142,,41418,,Open,Independent,1370 South Belcher Road,CLEARWATER,PINELLAS,FL,33764,9/9/17 2:00,,1056,0,,,,
Dunedin Highland Middle School Special Needs,70139,,41418,,Open,Independent,70 Patricia Avenue,DUNEDIN,PINELLAS,FL,34698,9/8/17 17:00,,468,0,Noon,,0,
LARGO HIGH SCHOOL,15055,,41418,,Open,Independent,410 MISSOURI AVE,LARGO,PINELLAS,FL,33770,9/8/17 17:00,,641,0,,,,
Palm Harbor University High School,19672,,41418,,Open,Independent,1900 OMAHA ST,PALM HARBOR,PINELLAS,FL,34683,9/8/17 17:00,,1599,0,,,,
GIBBS HIGH SCHOOL,15699,,41418,,Open,Independent,850 34TH ST S,SAINT PETERSBURG,PINELLAS,FL,33711,9/8/17 14:00,,4037,0,Noon,,0,
John Hopkins Middle School Special Needs,70137,,41418,,Open,Independent,701 16 Street South,SAINT PETERSBURG,PINELLAS,FL,33705,9/8/17 12:00,,1113,0,,,,
TARPON SPRINGS MIDDLE SCHOOL,19666,,41418,,Open,Independent,501 N FLORIDA AVE,TARPON SPRINGS,PINELLAS,FL,34689,9/8/17 17:00,,1413,0,,,,
Auburndale Senior High,139615,,41418,,Stand-by/Alert,ARC Partner,1 Bloodhound Trail,AUBURNDALE,POLK,FL,33823,9/9/17 12:00,,1583,0,,,,
Davenport School of the Arts,164784,,41418,,Stand-by/Alert,ARC Managed,4751 N. CR 547,DAVENPORT,POLK,FL,33837,,,4700,0,,,,
1st Baptist Church,164823,,41418,,Open,ARC Managed,1300 South Blvd,DAVENPORT,POLK,FL,33837,9/8/17 17:00,,500,250,,,,
Alta Vista Elementary School,19620,,41418,,Open,ARC Managed,801 Scenic Hwy,HAINES CITY,POLK,FL,33844,9/8/17 22:00,,432,0,Noon,,0,
Haines City High School,36293,,41418,,Stand-by/Alert,ARC Managed,2800 Hornet Dr,HAINES CITY,POLK,FL,33844,9/9/17 7:00,,2513,0,,,,
Kathleen Elementary,56703,,41418,,Open,ARC Partner,3515 Sheretz Rd,LAKELAND,POLK,FL,33810,9/8/17 22:00,,651,0,,,,
Tenoroc High School,76661,,41418,,Stand-by/Alert,ARC Managed,4905 Saddle Creek Road,LAKELAND,POLK,FL,33801,9/8/17 12:00,,4419,0,,,,
Philip O'Brien Elementary,137709,,41418,,Open,ARC Managed,1225 East Lime Street,LAKELAND,POLK,FL,33801,9/8/17 22:00,,1044,0,,,,
Donald Bronson Community Center,161385,,41418,,Stand-by/Alert,ARC Managed,124 Bronson Trail,POLK CITY,POLK,FL,33868,,,0,75,Noon,,0,
Chain Of Lakes Elementary,5707,,41418,,Stand-by/Alert,ARC Partner,7001 SR 653,WINTER HAVEN,POLK,FL,33884,,,2511,0,Noon,,0,
MIDDLETON BURNEY ELEMENTARY SCHOOL,141890,,41418,,Open,ARC Managed,1020 HUNTING RD,CRESCENT CITY,PUTNAM,FL,32112,9/9/17 9:00,,735,367,,,,
Q I Roberts Elementary School,22616,,41418,,Open,ARC Managed,901 STATE RT 100,FLORAHOME,PUTNAM,FL,32140,9/9/17 18:00,,812,0,,,,
Interlachen Elementary School,22617,,41418,,Open,ARC Managed,251 S COUNTY RD 315,INTERLACHEN,PUTNAM,FL,32148,9/9/17 10:00,,461,0,Noon,,,0
Kelley Smith Elementary School Special Needs,142361,,41418,,Open,Independent,1411 Kelley Smith School Rd,PALATKA,PUTNAM,FL,32177,9/9/17 10:00,,352,0,Noon,,,0
Browning - Pearce Elementary School,19803,,41418,,Open,ARC Managed,100 BEAR BLVD,SAN MATEO,PUTNAM,FL,32187,9/9/17 18:00,,601,0,,,,
OCHWILLA ELEMENTARY SCHOOL,19808,,41418,,Open,ARC Managed,299 N STATE RD 21,SAN MATEO,PUTNAM,FL,32187,9/9/17 10:00,,260,0,Noon,,,0
South Woods Elementary School,62750,,41418,,Open,Independent,4750 SR 206 West,ELKTON,SAINT JOHNS,FL,32033,9/8/17 22:00,,500,250,,,,
Pedro Menendez High School,22623,,41418,,Open,Independent,600 STATE RT 206 W,SAINT AUGUSTINE,SAINT JOHNS,FL,32086,9/9/17 22:00,,1541,770,,,,
Pacetti Bay Middle School Special Needs,62714,,41418,,Open,Independent,245 Meadowlark Lane,SAINT AUGUSTINE,SAINT JOHNS,FL,32086,9/9/17 22:00,,500,0,,,,
Timberlin Creek Elementary School,62753,,41418,,Open,Independent,555 Pine Tree Lane,SAINT AUGUSTINE,SAINT JOHNS,FL,32092,9/8/17 22:00,,500,250,,,,
Bartram Trail High School,39927,,41418,,Open,Independent,7399 Longleaf Pine Pkwy,SAINT JOHNS,SAINT JOHNS,FL,32259,9/9/17 22:00,,1098,549,,,,
Mill Creek Elementary School,164829,,41418,,Open,Independent,3750 International Gold Parkway,ST AUGUSTINE,SAINT JOHNS,FL,32092,9/8/17 19:00,,800,800,,,,
delete - duplicate - Bartram Trail High School,164828,,41418,,Open,Independent,7399 Long Leaf Pine Parkway,ST JOHNS,SAINT JOHNS,FL,32259,9/9/17 22:00,,500,500,,,,
Fort Pierce Central High School,5721,,41418,,Open,ARC Managed,4101 S 25th St,FORT PIERCE,SAINT LUCIE,FL,34982,9/8/17 12:00,,711,0,,,,
Fort Pierce Westwood High School,5738,,41418,,Open,ARC Managed,1801 Panther Road,FORT PIERCE,SAINT LUCIE,FL,34947,9/8/17 12:00,,251,0,,,,
Havert L. Fenn Center - Special Needs,161858,,41418,,Open,Independent,2000 Virgina Ave,FORT PIERCE,SAINT LUCIE,FL,34982,9/9/17 2:00,,100,50,,,,
Westgate K-8,59192,,41418,,Open,ARC Managed,1050 SW Cashmere Blvd,PORT SAINT LUCIE,SAINT LUCIE,FL,34986,9/8/17 12:00,,375,0,,,,
Treasure Coast High School,59196,,41418,,Open,ARC Managed,1000 SW Darwin Blvd,PORT SAINT LUCIE,SAINT LUCIE,FL,34953,9/8/17 12:00,,1158,0,,,,
NORTH PORT HIGH SCHOOL,6012,,41418,,Open,ARC Managed,6440 W PRICE BLVD,NORTH PORT,SARASOTA,FL,34286,9/8/17 22:00,,3696,1848,,,,
HERON CREEK MIDDLE SCHOOL,6013,,41418,,Open,Independent,6501 W PRICE BLVD,NORTH PORT,SARASOTA,FL,34286,9/8/17 22:00,,16100,1211,Noon,,0,
WOODLAND MIDDLE SCHOOL,67703,,41418,,Open,ARC Managed,2700 Panacea Blvd.,NORTH PORT,SARASOTA,FL,34289,9/9/17 8:00,,1694,1270,,,,
Lamarque Elementary Special Needs,68998,,41418,,Open,Independent,3415 Lamarque Ave.,NORTH PORT,SARASOTA,FL,34286,9/9/17 8:00,,1275,0,,,,
Cranberry Elementary School Special Needs,68999,,41418,,Open,Independent,2775 Shalimar Terrace,NORTH PORT,SARASOTA,FL,34286,9/9/17 8:00,,1047,0,,,,
Atwater Elementary School,148183,,41418,,Stand-by/Alert,Independent,4701 Huntsville Ave,NORTH PORT,SARASOTA,FL,34288,,,2215,1257,,,,
Brookside Middle School-Pet,5973,,41418,,Open,ARC Managed,3636 S Shade Ave,SARASOTA,SARASOTA,FL,34239,9/7/17 18:42,,1843,1256,Noon,,150,
PHILLIPPI SHORES ELEMENTARY SCHOOL,63762,,41418,,Open,ARC Managed,4747 S TAMIAMI TRAIL,SARASOTA,SARASOTA,FL,34231,9/9/17 8:00,,1271,890,,,,
Tatum Ridge Elementary Special Needs,68997,,41418,,Open,Independent,4100 Tatum Road,SARASOTA,SARASOTA,FL,34240,9/9/17 8:00,,1091,0,,,,
Booker High School,138481,,41418,,Open,ARC Managed,3201 N. Orange Ave,SARASOTA,SARASOTA,FL,34234,9/8/17 12:00,,1986,1228,,,,
HOLY CROSS LUTHERAN CHURCH,15332,,41418,,Stand-by/Alert,ARC Managed,780 SUN DR,LAKE MARY,SEMINOLE,FL,32746,,,0,45,Noon,,0,
Bentley Elementary School-psn/pet,5429,,41418,,Open,ARC Managed,2190 OREGON AVE,SANFORD,SEMINOLE,FL,32771,9/8/17 14:00,,423,211,Noon,,0,
Sumter Fairgrounds Cow Palace,69001,,41418,,Open,Independent,7620 State Road 471,BUSHNELL,SUMTER,FL,33513,9/8/17 14:00,,0,375,Noon,,0,
South Sumter High School,70038,,41418,,Stand-by/Alert,ARC Managed,706 North Main St.,BUSHNELL,SUMTER,FL,33513,,,335,0,,,,
Webster Elementary School Special Needs,69000,,41418,,Stand-by/Alert,Independent,349 S Market Blvd.,WEBSTER,SUMTER,FL,33597,,,221,0,,,,
WILDWOOD COMMUNITY CENTER - SPN LARGE EVENT ONLY,14799,,41418,,Stand-by/Alert,ARC Managed,6500 CR 139,WILDWOOD,SUMTER,FL,34785,,,153,0,,,,
Wildwood Elementary School,155731,,41418,,Stand-by/Alert,ARC Partner,300 Huey Street,WILDWOOD,SUMTER,FL,34785,,,135,0,,,,
Branford Elementary School,23624,,41418,,Open,ARC Managed,26801 STATE RD 247,BRANFORD,SUWANNEE,FL,32008,9/9/17 5:50,,1150,0,,,,
Suwannee Elementary School,22205,,41418,,Stand-by/Alert,ARC Managed,1748 Ohio/MLK Jr. Avenue,LIVE OAK,SUWANNEE,FL,32064,9/9/17 12:00,,0,162,,,,
Suwannee Intermediate School,22206,,41418,,Stand-by/Alert,ARC Managed,1730 WALKER AVE SW,LIVE OAK,SUWANNEE,FL,32064,9/9/17 12:00,,1400,0,,,,
Suwannee Coliseum Complex,67871,,41418,,Open,ARC Managed,1302 11th St SW,LIVE OAK,SUWANNEE,FL,32064,9/9/17 5:45,,0,213,,,,
FOREST CAPITAL STATE MUSEUM,6080,,41418,,Open,ARC Supported,204 FOREST PARK DR,PERRY,TAYLOR,FL,32348,9/7/17 17:00,,350,0,,,,
Taylor County Elementary School,6081,,41418,,Open,ARC Managed,1600 East Green Street,PERRY,TAYLOR,FL,32348,9/8/17 17:00,,2500,1250,,,,
Volusia County Fairgrounds,68824,,41418,,Open,Independent,3150 E State Road 44,DELAND,VOLUSIA,FL,32724,9/9/17 11:00,,500,0,,,,
Crawfordville Elementary School,6078,,41418,,Stand-by/Alert,ARC Managed,379 ARRAN RD,CRAWFORDVILLE,WAKULLA,FL,32327,,,400,0,,,,
Southwide Baptist Church,164814,,41418,,Open,ARC Managed,1307 Coy Burgess Loop,DEFUNIAK SPRINGS,WALTON,FL,32435,9/8/17 12:00,,500,250,,,,
Chipley First Baptist Church,164813,,41418,,Open,ARC Managed,1300 South Blvd,CHIPLEY,WASHINGTON,FL,32428,9/8/17 17:00,,100,50,,,,
Freedom Church,164809,,41518,,Open,Independent,500 Underwood Rd,MILLEDGEVILLE,BALDWIN,GA,31061,9/8/17 14:00,,2,1,,,,
Liberty Square Church,37900,,41518,,Open,ARC Managed,2001 LIBERTY SQUARE DR NE,CARTERSVILLE,BARTOW,GA,30120,9/9/17 10:00,,425,212,,,,
East Macon Recreation Center,31570,,41518,,Open,ARC Managed,3326 Ocmulgee E Blvd,MACON,BIBB,GA,31201,9/7/17 16:00,9/7/17 8:17,260,130,,,,
Frank Johnson Recreation Center,31578,,41518,,Open,ARC Managed,2227 MERCER UNIVERISTY DR,MACON,BIBB,GA,31204,9/8/17 17:00,,840,420,,,,
North Macon Park Community Center,32247,,41518,,Open,ARC Managed,815 N MACON PARK DR,MACON,BIBB,GA,31210,9/8/17 10:00,9/7/17 8:17,300,150,,,,
Blackshear Trail School,36482,,41518,,Open,ARC Partner,1001 BLACKSHEAR  RD,Cordele,Crisp,GA,31015,9/8/17 18:00,,1,0,,,,
East Laurens High School,1625,,41518,,Open,ARC Managed,920 HWY 80 E,East Dublin,Laurens,GA,31027,9/8/17 18:00,,630,315,,,,
Dublin High School,138926,,41518,,Open,ARC Managed,1127 Hillcrest Pky,DUBLIN,LAURENS,GA,31021,9/8/17 18:00,,500,250,,,,
"CrossPointe Church of Valdosta, Inc.",137373,,41518,,Open,ARC Managed,4100 N. Valdosta Rd.,VALDOSTA,LOWNDES,GA,31602,9/7/17 16:00,,550,275,Noon,0,,
Columbus Civic Center,164805,,41518,,Open,ARC Managed,400 4th Street,COLUMBUS,MUSCOGEE,GA,31901,9/8/17 11:30,,1000,500,Noon,,,506
First Baptist Church of Cuthbert,164811,,41518,,Open,ARC Supported,567 College St,CUTHBERT,RANDOLPH,GA,39840,9/8/17 14:00,,100,50,,,,
Trinity on the Hill United Methodist Church,30561,,41518,,Open,ARC Managed,1330 MONTE SANO AVE,AUGUSTA,RICHMOND,GA,30904,9/8/17 14:00,,342,171,Noon,,,179
Henry H Brigham Community Center,75380,,41518,,Open,ARC Managed,2463 Golden Camp Rd,AUGUSTA,RICHMOND,GA,30901,9/9/17 10:00,,205,102,Noon,,,2
Westside High School,136012,,41518,,Open,ARC Managed,1002 Patriots Way,AUGUSTA,RICHMOND,GA,30907,9/8/17 17:00,,671,335,,,,
Abraham Baldwin Agricultural College - Gressette Gym,61307,,41518,,Open,ARC Managed,2802 Moore Hwy.,TIFTON,TIFT,GA,31794,9/9/17 8:00,,349,174,,,,
Ware County High School,67292,,41518,,Open,ARC Managed,700 Victory Drive,WAYCROSS,WARE,GA,31501,9/8/17 17:00,,0,350,,,,
